47.577	28.845
47.554	27.958
47.268	26.883
46.646	25.114
45.714	24.158
44.877	24.062
43.869	25.379
42.782	26.691
42.104	27.672
40.838	27.648
40.144	27.104
40.336	26.07
39.913	25.876
38.949	26.237
37.706	26.524
36.863	27.168
36.368	27.815
36.224	28.802
35.825	29.223
36.153	29.233
36.548	29.547
37.03	29.916
37.465	29.989
37.57	30.129
37.672	30.334
38.009	30.5
37.874	30.636
37.019	31.504
37.689	31.677
39.006	32
39.2	32.154
40.355	31.954
40.819	31.677
41.94	31.164
42.922	30.513
43.818	29.863
44.628	29.262
45.663	29.121
46.426	29.058
46.644	29.092
47.202	29.027
47.577	28.845
